Filename	Condition	BioReplicate	Run
C:\DIA-NN\CD4+T_iRT\SNS-101_VISTA_CD4+T_iRT_1600ng_50cmColumn_12242022\CD4+T__iRT1600ng-DIA-1-1_12242022.raw	Control_1600	1	CD4+T__iRT1600ng-DIA-1-1_12242022
C:\DIA-NN\CD4+T_iRT\SNS-101_VISTA_CD4+T_iRT_1600ng_50cmColumn_12242022\CD4+T__iRT1600ng-DIA-1-2_12242022.raw	Control_1600	1	CD4+T__iRT1600ng-DIA-1-2_12242022
C:\DIA-NN\CD4+T_iRT\SNS-101_VISTA_CD4+T_iRT_1600ng_50cmColumn_12242022\CD4+T__iRT1600ng-DIA-1-3_12242022.raw	Control_1600	1	CD4+T__iRT1600ng-DIA-1-3_12242022
C:\DIA-NN\CD4+T_iRT\SNS-101_VISTA_CD4+T_iRT_1600ng_50cmColumn_12242022\CD4+T__iRT1600ng-DIA-2-1_12242022.raw	Control_1600	2	CD4+T__iRT1600ng-DIA-2-1_12242022
C:\DIA-NN\CD4+T_iRT\SNS-101_VISTA_CD4+T_iRT_1600ng_50cmColumn_12242022\CD4+T__iRT1600ng-DIA-2-2_12242022.raw	Control_1600	2	CD4+T__iRT1600ng-DIA-2-2_12242022
C:\DIA-NN\CD4+T_iRT\SNS-101_VISTA_CD4+T_iRT_1600ng_50cmColumn_12242022\CD4+T__iRT1600ng-DIA-2-3_12242022.raw	Control_1600	2	CD4+T__iRT1600ng-DIA-2-3_12242022
C:\DIA-NN\CD4+T_iRT\SNS-101_VISTA_CD4+T_iRT_1600ng_50cmColumn_12242022\CD4+T__iRT1600ng-DIA-3-1_12242022.raw	Control_1600	3	CD4+T__iRT1600ng-DIA-3-1_12242022
C:\DIA-NN\CD4+T_iRT\SNS-101_VISTA_CD4+T_iRT_1600ng_50cmColumn_12242022\CD4+T__iRT1600ng-DIA-3-2_12242022.raw	Control_1600	3	CD4+T__iRT1600ng-DIA-3-2_12242022
C:\DIA-NN\CD4+T_iRT\SNS-101_VISTA_CD4+T_iRT_1600ng_50cmColumn_12242022\CD4+T__iRT1600ng-DIA-3-3_12242022.raw	Control_1600	3	CD4+T__iRT1600ng-DIA-3-3_12242022
C:\DIA-NN\CD4+T_iRT\SNS-101_VISTA_CD4+T_iRT_1600ng_50cmColumn_12242022\SNS-101_VISTA_CD4+T_iRT_1600ng-DIA-1-1_12242022.raw	SNS_VISTA_1600	4	SNS-101_VISTA_CD4+T_iRT_1600ng-DIA-1-1_12242022
C:\DIA-NN\CD4+T_iRT\SNS-101_VISTA_CD4+T_iRT_1600ng_50cmColumn_12242022\SNS-101_VISTA_CD4+T_iRT_1600ng-DIA-1-2_12242022.raw	SNS_VISTA_1600	4	SNS-101_VISTA_CD4+T_iRT_1600ng-DIA-1-2_12242022
C:\DIA-NN\CD4+T_iRT\SNS-101_VISTA_CD4+T_iRT_1600ng_50cmColumn_12242022\SNS-101_VISTA_CD4+T_iRT_1600ng-DIA-1-3_12242022.raw	SNS_VISTA_1600	4	SNS-101_VISTA_CD4+T_iRT_1600ng-DIA-1-3_12242022
C:\DIA-NN\CD4+T_iRT\SNS-101_VISTA_CD4+T_iRT_1600ng_50cmColumn_12242022\SNS-101_VISTA_CD4+T_iRT_1600ng-DIA-2-1_12242022.raw	SNS_VISTA_1600	5	SNS-101_VISTA_CD4+T_iRT_1600ng-DIA-2-1_12242022
C:\DIA-NN\CD4+T_iRT\SNS-101_VISTA_CD4+T_iRT_1600ng_50cmColumn_12242022\SNS-101_VISTA_CD4+T_iRT_1600ng-DIA-2-2_12242022.raw	SNS_VISTA_1600	5	SNS-101_VISTA_CD4+T_iRT_1600ng-DIA-2-2_12242022
C:\DIA-NN\CD4+T_iRT\SNS-101_VISTA_CD4+T_iRT_1600ng_50cmColumn_12242022\SNS-101_VISTA_CD4+T_iRT_1600ng-DIA-2-3_12242022.raw	SNS_VISTA_1600	5	SNS-101_VISTA_CD4+T_iRT_1600ng-DIA-2-3_12242022
C:\DIA-NN\CD4+T_iRT\SNS-101_VISTA_CD4+T_iRT_1600ng_50cmColumn_12242022\SNS-101_VISTA_CD4+T_iRT_1600ng-DIA-3-1_12242022.raw	SNS_VISTA_1600	6	SNS-101_VISTA_CD4+T_iRT_1600ng-DIA-3-1_12242022
C:\DIA-NN\CD4+T_iRT\SNS-101_VISTA_CD4+T_iRT_1600ng_50cmColumn_12242022\SNS-101_VISTA_CD4+T_iRT_1600ng-DIA-3-2_12242022.raw	SNS_VISTA_1600	6	SNS-101_VISTA_CD4+T_iRT_1600ng-DIA-3-2_12242022
C:\DIA-NN\CD4+T_iRT\SNS-101_VISTA_CD4+T_iRT_1600ng_50cmColumn_12242022\SNS-101_VISTA_CD4+T_iRT_1600ng-DIA-3-3_12242022.raw	SNS_VISTA_1600	6	SNS-101_VISTA_CD4+T_iRT_1600ng-DIA-3-3_12242022
C:\DIA-NN\CD4+T_iRT\SNS-101_VISTA_CD4+T_iRT_1600ng_50cmColumn_12242022\VISTA_CD4+T_iRT_1600ng-DIA-1-1_12242022.raw	VISTA_1600	7	VISTA_CD4+T_iRT_1600ng-DIA-1-1_12242022
C:\DIA-NN\CD4+T_iRT\SNS-101_VISTA_CD4+T_iRT_1600ng_50cmColumn_12242022\VISTA_CD4+T_iRT_1600ng-DIA-1-2_12242022.raw	VISTA_1600	7	VISTA_CD4+T_iRT_1600ng-DIA-1-2_12242022
C:\DIA-NN\CD4+T_iRT\SNS-101_VISTA_CD4+T_iRT_1600ng_50cmColumn_12242022\VISTA_CD4+T_iRT_1600ng-DIA-1-3_12242022.raw	VISTA_1600	7	VISTA_CD4+T_iRT_1600ng-DIA-1-3_12242022
C:\DIA-NN\CD4+T_iRT\SNS-101_VISTA_CD4+T_iRT_1600ng_50cmColumn_12242022\VISTA_CD4+T_iRT_1600ng-DIA-2-1_12242022.raw	VISTA_1600	8	VISTA_CD4+T_iRT_1600ng-DIA-2-1_12242022
C:\DIA-NN\CD4+T_iRT\SNS-101_VISTA_CD4+T_iRT_1600ng_50cmColumn_12242022\VISTA_CD4+T_iRT_1600ng-DIA-2-2_12242022.raw	VISTA_1600	8	VISTA_CD4+T_iRT_1600ng-DIA-2-2_12242022
C:\DIA-NN\CD4+T_iRT\SNS-101_VISTA_CD4+T_iRT_1600ng_50cmColumn_12242022\VISTA_CD4+T_iRT_1600ng-DIA-2-3_12242022.raw	VISTA_1600	8	VISTA_CD4+T_iRT_1600ng-DIA-2-3_12242022
C:\DIA-NN\CD4+T_iRT\SNS-101_VISTA_CD4+T_iRT_1600ng_50cmColumn_12242022\VISTA_CD4+T_iRT_1600ng-DIA-3-1_12242022.raw	VISTA_1600	9	VISTA_CD4+T_iRT_1600ng-DIA-3-1_12242022
C:\DIA-NN\CD4+T_iRT\SNS-101_VISTA_CD4+T_iRT_1600ng_50cmColumn_12242022\VISTA_CD4+T_iRT_1600ng-DIA-3-2_12242022.raw	VISTA_1600	9	VISTA_CD4+T_iRT_1600ng-DIA-3-2_12242022
C:\DIA-NN\CD4+T_iRT\SNS-101_VISTA_CD4+T_iRT_1600ng_50cmColumn_12242022\VISTA_CD4+T_iRT_1600ng-DIA-3-3_12242022.raw	VISTA_1600	9	VISTA_CD4+T_iRT_1600ng-DIA-3-3_12242022
C:\DIA-NN\CD4+T_iRT\SNS-101_VISTA_CD4+T_iRT_50cmColumn_12212022\CD4+T__iRT1000ng-DIA-1-1_12212022.raw	Control_1000	10	CD4+T__iRT1000ng-DIA-1-1_12212022
C:\DIA-NN\CD4+T_iRT\SNS-101_VISTA_CD4+T_iRT_50cmColumn_12212022\CD4+T__iRT1000ng-DIA-1-2_12212022.raw	Control_1000	10	CD4+T__iRT1000ng-DIA-1-2_12212022
C:\DIA-NN\CD4+T_iRT\SNS-101_VISTA_CD4+T_iRT_50cmColumn_12212022\CD4+T__iRT1000ng-DIA-1-3_12212022.raw	Control_1000	10	CD4+T__iRT1000ng-DIA-1-3_12212022
C:\DIA-NN\CD4+T_iRT\SNS-101_VISTA_CD4+T_iRT_50cmColumn_12212022\CD4+T__iRT1000ng-DIA-2-1_12212022.raw	Control_1000	11	CD4+T__iRT1000ng-DIA-2-1_12212022
C:\DIA-NN\CD4+T_iRT\SNS-101_VISTA_CD4+T_iRT_50cmColumn_12212022\CD4+T__iRT1000ng-DIA-2-2_12212022.raw	Control_1000	11	CD4+T__iRT1000ng-DIA-2-2_12212022
C:\DIA-NN\CD4+T_iRT\SNS-101_VISTA_CD4+T_iRT_50cmColumn_12212022\CD4+T__iRT1000ng-DIA-2-3_12212022.raw	Control_1000	11	CD4+T__iRT1000ng-DIA-2-3_12212022
C:\DIA-NN\CD4+T_iRT\SNS-101_VISTA_CD4+T_iRT_50cmColumn_12212022\CD4+T__iRT1000ng-DIA-3-1_12212022.raw	Control_1000	12	CD4+T__iRT1000ng-DIA-3-1_12212022
C:\DIA-NN\CD4+T_iRT\SNS-101_VISTA_CD4+T_iRT_50cmColumn_12212022\CD4+T__iRT1000ng-DIA-3-2_12212022.raw	Control_1000	12	CD4+T__iRT1000ng-DIA-3-2_12212022
C:\DIA-NN\CD4+T_iRT\SNS-101_VISTA_CD4+T_iRT_50cmColumn_12212022\CD4+T__iRT1000ng-DIA-3-3_12212022.raw	Control_1000	13	CD4+T__iRT1000ng-DIA-3-3_12212022
C:\DIA-NN\CD4+T_iRT\SNS-101_VISTA_CD4+T_iRT_50cmColumn_12212022\SNS-101_VISTA_CD4+T_iRT_1000ng-DIA-1-1_12212022.raw	SNS_VISTA_1000	14	SNS-101_VISTA_CD4+T_iRT_1000ng-DIA-1-1_12212022
C:\DIA-NN\CD4+T_iRT\SNS-101_VISTA_CD4+T_iRT_50cmColumn_12212022\SNS-101_VISTA_CD4+T_iRT_1000ng-DIA-1-2_12212022.raw	SNS_VISTA_1000	14	SNS-101_VISTA_CD4+T_iRT_1000ng-DIA-1-2_12212022
C:\DIA-NN\CD4+T_iRT\SNS-101_VISTA_CD4+T_iRT_50cmColumn_12212022\SNS-101_VISTA_CD4+T_iRT_1000ng-DIA-1-3_12212022.raw	SNS_VISTA_1000	14	SNS-101_VISTA_CD4+T_iRT_1000ng-DIA-1-3_12212022
C:\DIA-NN\CD4+T_iRT\SNS-101_VISTA_CD4+T_iRT_50cmColumn_12212022\SNS-101_VISTA_CD4+T_iRT_1000ng-DIA-2-1_12212022.raw	SNS_VISTA_1000	15	SNS-101_VISTA_CD4+T_iRT_1000ng-DIA-2-1_12212022
C:\DIA-NN\CD4+T_iRT\SNS-101_VISTA_CD4+T_iRT_50cmColumn_12212022\SNS-101_VISTA_CD4+T_iRT_1000ng-DIA-2-2_12212022.raw	SNS_VISTA_1000	15	SNS-101_VISTA_CD4+T_iRT_1000ng-DIA-2-2_12212022
C:\DIA-NN\CD4+T_iRT\SNS-101_VISTA_CD4+T_iRT_50cmColumn_12212022\SNS-101_VISTA_CD4+T_iRT_1000ng-DIA-2-3_12212022.raw	SNS_VISTA_1000	15	SNS-101_VISTA_CD4+T_iRT_1000ng-DIA-2-3_12212022
C:\DIA-NN\CD4+T_iRT\SNS-101_VISTA_CD4+T_iRT_50cmColumn_12212022\SNS-101_VISTA_CD4+T_iRT_1000ng-DIA-3-1_12212022.raw	SNS_VISTA_1000	16	SNS-101_VISTA_CD4+T_iRT_1000ng-DIA-3-1_12212022
C:\DIA-NN\CD4+T_iRT\SNS-101_VISTA_CD4+T_iRT_50cmColumn_12212022\SNS-101_VISTA_CD4+T_iRT_1000ng-DIA-3-2_12212022.raw	SNS_VISTA_1000	16	SNS-101_VISTA_CD4+T_iRT_1000ng-DIA-3-2_12212022
C:\DIA-NN\CD4+T_iRT\SNS-101_VISTA_CD4+T_iRT_50cmColumn_12212022\SNS-101_VISTA_CD4+T_iRT_1000ng-DIA-3-3_12212022.raw	SNS_VISTA_1000	16	SNS-101_VISTA_CD4+T_iRT_1000ng-DIA-3-3_12212022
C:\DIA-NN\CD4+T_iRT\SNS-101_VISTA_CD4+T_iRT_50cmColumn_12212022\VISTA_CD4+T_iRT_1000ng-DIA-1-1_12212022.raw	VISTA_1000	17	VISTA_CD4+T_iRT_1000ng-DIA-1-1_12212022
C:\DIA-NN\CD4+T_iRT\SNS-101_VISTA_CD4+T_iRT_50cmColumn_12212022\VISTA_CD4+T_iRT_1000ng-DIA-1-2_12212022.raw	VISTA_1000	17	VISTA_CD4+T_iRT_1000ng-DIA-1-2_12212022
C:\DIA-NN\CD4+T_iRT\SNS-101_VISTA_CD4+T_iRT_50cmColumn_12212022\VISTA_CD4+T_iRT_1000ng-DIA-1-3_12212022.raw	VISTA_1000	17	VISTA_CD4+T_iRT_1000ng-DIA-1-3_12212022
C:\DIA-NN\CD4+T_iRT\SNS-101_VISTA_CD4+T_iRT_50cmColumn_12212022\VISTA_CD4+T_iRT_1000ng-DIA-2-1_12212022.raw	VISTA_1000	18	VISTA_CD4+T_iRT_1000ng-DIA-2-1_12212022
C:\DIA-NN\CD4+T_iRT\SNS-101_VISTA_CD4+T_iRT_50cmColumn_12212022\VISTA_CD4+T_iRT_1000ng-DIA-2-2_12212022.raw	VISTA_1000	18	VISTA_CD4+T_iRT_1000ng-DIA-2-2_12212022
C:\DIA-NN\CD4+T_iRT\SNS-101_VISTA_CD4+T_iRT_50cmColumn_12212022\VISTA_CD4+T_iRT_1000ng-DIA-2-3_12212022.raw	VISTA_1000	18	VISTA_CD4+T_iRT_1000ng-DIA-2-3_12212022
C:\DIA-NN\CD4+T_iRT\SNS-101_VISTA_CD4+T_iRT_50cmColumn_12212022\VISTA_CD4+T_iRT_1000ng-DIA-3-1_12212022.raw	VISTA_1000	19	VISTA_CD4+T_iRT_1000ng-DIA-3-1_12212022
C:\DIA-NN\CD4+T_iRT\SNS-101_VISTA_CD4+T_iRT_50cmColumn_12212022\VISTA_CD4+T_iRT_1000ng-DIA-3-2_12212022.raw	VISTA_1000	19	VISTA_CD4+T_iRT_1000ng-DIA-3-2_12212022
C:\DIA-NN\CD4+T_iRT\SNS-101_VISTA_CD4+T_iRT_50cmColumn_12212022\VISTA_CD4+T_iRT_1000ng-DIA-3-3_12212022.raw	VISTA_1000	19	VISTA_CD4+T_iRT_1000ng-DIA-3-3_12212022
